CO_CURSO,NO_CURSO
688,ECONOMIA DOMESTICA
689,ENGENHARIA CIVIL
691,ENGENHARIA DE ALIMENTOS
692,ENGENHARIA FLORESTAL
694,FISICA
695,MEDICINA VETERINARIA
696,MATEMATICA
697,PEDAGOGIA
698,NUTRICAO
699,COOPERATIVISMO
700,QUIMICA
701,ZOOTECNIA
703,CIENCIA DA COMPUTACAO
704,ARQUITETURA E URBANISMO
705,DIREITO
18856,CIENCIA E TECNOLOGIA DE LATICINIOS
18860,SECRETARIADO EXECUTIVO
21585,ENGENHARIA DE PRODUCAO
21586,CIENCIAS CONTABEIS
21587,ENGENHARIA AMBIENTAL
21972,AGRONEGOCIO
27490,LETRAS   PORTUGUES E FRANCES
32834,LETRAS   PORTUGUES E INGLES
32836,LETRAS   LINGUA PORTUGUESA
39024,HISTORIA
39087,ENGENHARIA ELETRICA
39114,BIOQUIMICA
39274,EDUCACAO INFANTIL
43869,GEOGRAFIA
43916,COMUNICACAO SOCIAL   JORNALISMO
55094,DANCA
55452,ENGENHARIA AGRICOLA E AMBIENTAL
109826,ENGENHARIA MECANICA
109828,ENGENHARIA QUIMICA
111120,ADMINISTRACAO
111128,AGRONOMIA
112074,GESTAO AMBIENTAL
117492,CIENCIAS SOCIAIS
118058,CIENCIA E TECNOLOGIA DE ALIMENTOS
118336,SISTEMAS DE INFORMACAO
120830,ENFERMAGEM
122354,CIENCIAS BIOLOGICAS
122356,FISICA
122358,MATEMATICA
122360,QUIMICA
300684,CIENCIAS BIOLOGICAS
300687,EDUCACAO FISICA
300694,FISICA
300696,MATEMATICA
300700,QUIMICA
339024,HISTORIA
343869,GEOGRAFIA
355094,DANCA
417492,CIENCIAS SOCIAIS
1068548,MEDICINA
1109544,ENGENHARIA DE ALIMENTOS
1111410,CIENCIAS CONTABEIS
1112659,ENGENHARIA DE PRODUCAO
1112821,NUTRICAO
1113139,AGRONOMIA
1114569,EDUCACAO FISICA
1118495,ENGENHARIA CIVIL
1126514,ADMINISTRACAO
1134829,QUIMICA
1135277,CIENCIAS BIOLOGICAS
1161839,CIENCIA DA COMPUTACAO
1190583,LETRAS   PORTUGUES E ESPANHOL
1285225,EDUCACAO DO CAMPO   CIENCIAS DA NATUREZA
1376265,SERVICO SOCIAL
5000598,ABI   CIENCIAS BIOLOGICAS
5000600,ABI   FISICA
5000601,ABI   QUIMICA
5000602,ABI   CIENCIAS SOCIAIS
5000603,ABI   DANCA
5000604,ABI   GEOGRAFIA
5000605,ABI   HISTORIA
5000606,ABI   LETRAS
5000694,ABI   MATEMATICA
750,ARQUITETURA E URBANISMO
751,AGRONOMIA
754,EDUCACAO FISICA
755,BIBLIOTECONOMIA
758,MEDICINA
759,FISIOTERAPIA
760,ODONTOLOGIA
761,FARMACIA
762,SERVICO SOCIAL
763,ENFERMAGEM
764,DIREITO
765,CIENCIAS ECONOMICAS
766,ADMINISTRACAO
767,CIENCIAS CONTABEIS
768,MATEMATICA
769,QUIMICA
770,FISICA
771,GEOGRAFIA
772,CIENCIAS BIOLOGICAS
773,PSICOLOGIA
774,CIENCIAS SOCIAIS
775,HISTORIA
777,MEDICINA VETERINARIA
778,CIENCIA DA COMPUTACAO
779,FILOSOFIA
780,MUSICA
781,SECRETARIADO EXECUTIVO
19380,ARQUIVOLOGIA
19381,ARTES CENICAS
22083,BIOMEDICINA
24533,PSICOLOGIA
40980,JORNALISMO
40983,RELACÕES PUBLICAS
42359,MATEMATICA
42539,FISICA
42559,ENGENHARIA CIVIL
42566,ENGENHARIA ELETRICA
42574,QUIMICA
56129,ZOOTECNIA
92115,DESIGN GRAFICO
92117,DESIGN DE MODA
92157,EDUCACAO FISICA
92260,PEDAGOGIA
103316,LETRAS
103367,LETRAS   ESTUDOS LITERARIOS
